Time,Time Reference,fc1HighImuValuesAccelX.value,fc1HighImuValuesAccelY.distinct,fc1HighImuValuesAccelZ.distinct,fc1LowImuValuesAccelX.distinct,fc1LowImuValuesAccelY.distinct,fc1LowImuValuesAccelZ.distinct
1.76514E+12,5.766,-1.670029283,undefined,undefined,undefined,undefined,undefined
1.76514E+12,5.796,-1.670029283,undefined,undefined,undefined,undefined,undefined
1.76514E+12,5.819,undefined,-0.163312137,0.025227189,-1.324432015,-0.081983998,-0.118096001
1.76514E+12,5.831,-1.613361001,undefined,undefined,undefined,undefined,undefined
1.76514E+12,5.902,-1.443356156,undefined,undefined,undefined,undefined,undefined
1.76514E+12,5.919,undefined,-0.163312137,-0.072476745,-1.252207994,0.041968003,-0.187391996
1.76514E+12,5.922,-1.670029283,undefined,undefined,undefined,undefined,undefined
1.76514E+12,5.959,-1.443356156,undefined,undefined,undefined,undefined,undefined
1.76514E+12,5.992,-1.556692719,undefined,undefined,undefined,undefined,undefined
1.76514E+12,6.019,undefined,-0.163312137,-0.121328712,-1.237568021,0.016592002,-0.059535999
1.76514E+12,6.021,-1.613361001,undefined,undefined,undefined,undefined,undefined
1.76514E+12,6.058,-1.443356156,undefined,undefined,undefined,undefined,undefined
1.76514E+12,6.09,-1.386687875,undefined,undefined,undefined,undefined,undefined
1.76514E+12,6.119,undefined,-0.163312137,-0.267884731,-1.245375991,-0.040015999,-0.335744023
1.76514E+12,6.125,-1.500024438,undefined,undefined,undefined,undefined,undefined
