Time,Time Reference(milisecond),Time Reference(seconds),fc1BaroValuesAltitude.distinct,fc1GpsValuesAltitude.distinct,fc1GpsValuesLongitude.distinct,fc1GpsValuesLatitude.distinct,fc1LowImuValuesAccelX.distinct,fc1LowImuValuesAccelY.distinct,fc1LowImuValuesAccelZ.distinct,fc1LowImuValuesGyroX.distinct,fc1LowImuValuesGyroY.distinct,fc1LowImuValuesGyroZ.distinct
1.76514E+12,100491,100.491,936.2377319,undefined,undefined,undefined,-1.06676805,-0.637328029,1.290271997,122.3600006,21.42000008,-109.6200027
1.76514E+12,100496,100.49600000000001,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined
1.76514E+12,100501,100.501,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined
1.76514E+12,100506,100.506,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined
1.76514E+12,100508,100.50800000000001,undefined,898.953064,-117.8119965,35.34516525,undefined,undefined,undefined,undefined,undefined,undefined
1.76514E+12,100509,100.509,undefined,undefined,undefined,undefined,-0.613903999,-0.334767997,0.43236801,197.0500031,1.399999976,-106.1900024
1.76514E+12,100511,100.511,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined
1.76514E+12,100516,100.51599999999999,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined
1.76514E+12,100517,100.517,undefined,undefined,undefined,undefined,-0.396256,-0.193248004,0.942816019,204.3300018,-1.820000052,-96.59999847
1.76514E+12,100521,100.521,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined
1.76514E+12,100525,100.525,undefined,undefined,undefined,undefined,-0.396256,-0.193248004,0.942816019,204.3300018,-1.820000052,-96.59999847
1.76514E+12,100526,100.526,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined
1.76514E+12,100531,100.53099999999999,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined
1.76514E+12,100536,100.536,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined
1.76514E+12,100541,100.541,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined
1.76514E+12,100542,100.542,undefined,898.1790161,-117.8119965,35.34516525,undefined,undefined,undefined,undefined,undefined,undefined
1.76514E+12,100543,100.54299999999999,936.5819092,undefined,undefined,undefined,-0.538752019,-0.121024005,0.973071992,155.2599945,4.900000095,-69.30000305
1.76514E+12,100546,100.546,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined
1.76514E+12,100551,100.551,undefined,undefined,undefined,undefined,-0.894015968,-0.027328001,1.007231951,88.55000305,25.82999992,-42.84000015
1.76514E+12,100556,100.556,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined
1.76514E+12,100559,100.559,undefined,undefined,undefined,undefined,-1.178032041,0.081983998,0.31329599,-30.72999954,28.06999969,-26.53000069
1.76514E+12,100561,100.561,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined
1.76514E+12,100566,100.566,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined
1.76514E+12,100571,100.571,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined
1.76514E+12,100574,100.574,undefined,897.4040527,-117.8119965,35.34516525,undefined,undefined,undefined,undefined,undefined,undefined
1.76514E+12,100576,100.576,undefined,undefined,undefined,undefined,-1.081407905,0.204960003,1.259039998,-185.9900055,5.670000076,-31.92000008
1.76514E+12,100581,100.58099999999999,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined
1.76514E+12,100584,100.584,undefined,undefined,undefined,undefined,-0.813984036,0.016592002,0.772992015,-320.4599915,-1.610000014,-44.65999985
1.76514E+12,100585,100.58500000000001,933.894165,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined
