time,lat,long,GPS MSL,SVs
680.702,35.346113,-117.81507,3084.8972,28
680.897,35.346102,-117.81506,3078.6201,27
681.123,35.346091,-117.81505,3072.3711,28
681.303,35.346078,-117.81505,3066.113,28
681.5,35.346065,-117.81504,3059.8882,28
681.695,35.346052,-117.81503,3053.6172,28
681.898,35.346038,-117.81503,3047.3342,28
682.116,35.346021,-117.81502,3040.9062,28
682.302,35.346002,-117.81502,3034.3472,28
682.491,35.345981,-117.81501,3027.769,28
682.686,35.345961,-117.815,3021.1663,28
682.883,35.345942,-117.81499,3014.5142,28
683.097,35.345922,-117.81498,3007.8953,28
683.28,35.345902,-117.81497,3001.3562,28
683.486,35.345881,-117.81496,2994.8391,28
683.671,35.34586,-117.81495,2988.3381,28
683.869,35.345839,-117.81493,2981.8782,28
684.111,35.345818,-117.81492,2975.5103,28
684.275,35.345797,-117.81491,2969.3101,28
684.46,35.345778,-117.8149,2963.1582,28
684.656,35.345758,-117.81489,2956.9922,28
684.852,35.345738,-117.81488,2950.7581,28
685.074,35.345718,-117.81487,2944.5623,28
685.246,35.345699,-117.81485,2938.446,28
685.439,35.345679,-117.81484,2932.3232,28
685.639,35.345659,-117.81483,2926.2671,28
685.838,35.345639,-117.81482,2920.1621,28
686.081,35.345619,-117.81481,2914.0112,28
686.247,35.345598,-117.8148,2907.7932,28
686.421,35.345576,-117.81479,2901.4583,28
686.634,35.345553,-117.81477,2894.9941,28
686.832,35.345529,-117.81476,2888.4441,28
687.075,35.345506,-117.81475,2881.8552,28
687.237,35.345485,-117.81474,2875.249,28
687.407,35.345464,-117.81473,2868.655,28
687.61,35.345444,-117.81472,2862.0581,28
687.806,35.345423,-117.81471,2855.4592,28
688.051,35.345403,-117.8147,2848.832,28
688.213,35.345384,-117.81469,2842.239,28
688.391,35.345365,-117.81468,2835.6941,28
688.604,35.345346,-117.81467,2829.1021,28
688.797,35.345327,-117.81466,2822.4712,28
689.048,35.345308,-117.81465,2815.9202,28
